FOC Number
FIN/DIS/PRD/001/2025/1637
FIN/DIS/PRD/001/2025/1638
FIN/DIS/PRD/001/2025/1639
FIN/DIS/PRD/001/2025/1640
FIN/DIS/PRD/001/2025/1641
FIN/DIS/PRD/001/2025/1642
FIN/DIS/SWD/011/2025/4361
FIN/KAM/CA/001/2025/2342
FIN/NGT/PWR/002/2025/42696
FIN/NGT/SWD/001/2025/4947
FIN/NGT/SWD/001/2025/4946
FIN/DIS/MDB/001/2025/964
FIN/DIS/MDB/001/2025/963
FIN/DIS/SE/055/2025/1192
FIN/DIS/SE/055/2025/1191
FIN/DIS/SE/055/2025/1193
FIN/DIS/SE/055/2025/1194
FIN/DIS/SE/055/2025/1195
FIN/DIS/SE/055/2025/1196
FIN/DIS/SE/055/2025/1200
FIN/DIS/SE/055/2025/1199
FIN/DIS/SE/055/2025/1197
FIN/DIS/SE/055/2025/1198
FIN/NGT/PWR/002/2025/42697
FIN/DIS/DME/001/2025/2804
FIN/DIS/FEB/001/2025/2236
FIN/DIS/HS/017/2025/2067
FIN/DIS/HS/017/2025/2069
FIN/DIS/PRD/003/2025/1643
FIN/DIS/SE/055/2025/1201
FIN/DIS/SE/055/2025/1202
FIN/DIS/COP/002/2025/644
FIN/DIS/SCE/001/2025/1157
FIN/DIS/SCE/001/2025/1160
FIN/DIS/SCE/001/2025/1159
FIN/DIS/SCE/001/2025/1158
FIN/DIS/WPT/001/2025/2240
FIN/MRG/PWR/002/2025/42701
FIN/DIS/EE/025/2025/1717
FIN/DIS/EE/025/2025/1716
FIN/DIS/MDA/001/2025/1525
FIN/DIS/MDA/001/2025/1526
FIN/DIS/SAD/001/2025/4510
FIN/DIS/SAD/001/2025/4509
FIN/DIS/SCE/001/2025/1162
FIN/DIS/SCE/001/2025/1161
FIN/LKM/PWR/004/2025/42700
FIN/BKK/PWR/001/2025/42698
FIN/DIS/FC/001/2025/4813
FIN/DIS/FC/001/2025/4814
FIN/DIS/FC/001/2025/4815
FIN/DIS/FC/001/2025/4816
FIN/DIS/PRD/003/2025/1644
FIN/JOR/PWR/002/2025/42699
FIN/AKM/PWB/004/2025/13086
FIN/DIB/PWR/008/2025/42707
FIN/DIS/HS/001/2025/2444
FIN/DIS/HS/001/2025/2445
FIN/DMJ/PWR/001/2025/42716
FIN/HKD/PWR/001/2025/42717
FIN/HKD/PWR/001/2025/42718
FIN/KAM/PWB/001/2025/13088
FIN/LKM/PWB/001/2025/13085
FIN/LKM/PWR/002/2025/42729
FIN/LKM/PWR/002/2025/42722
FIN/LKM/PWR/002/2025/42712
FIN/NAG/PWR/002/2025/42702
FIN/NGT/SWD/001/2025/4948
FIN/NGT/SWD/001/2025/4952
FIN/NGT/SWD/001/2025/4953
FIN/NGT/SWD/001/2025/4954
FIN/NGT/SWD/001/2025/4958
FIN/NGT/SWD/001/2025/4955
FIN/NGT/SWD/001/2025/4961
FIN/NGT/SWD/001/2025/4956
FIN/NGT/SWD/001/2025/4957
FIN/NGT/SWD/001/2025/4959
FIN/NGT/SWD/001/2025/4951
FIN/NGT/SWD/001/2025/4950
FIN/NGT/SWD/001/2025/4949
FIN/PSL/PWR/002/2025/42726
FIN/PSL/PWR/002/2025/42727
FIN/RAN/PWR/002/2025/42721
FIN/SVS/PWR/001/2025/42709
FIN/DIS/DME/001/2025/2805
FIN/SNR/PWR/001/2025/42706
FIN/AKM/PWB/004/2025/13080
FIN/DAR/PWR/003/2025/42715
FIN/DAR/PWR/003/2025/42714
FIN/DIS/FC/001/2025/4817
FIN/DIS/PRD/001/2025/1645
FIN/DIS/PRD/001/2025/1646
FIN/DIS/PRD/001/2025/1647
FIN/JOR/PWR/002/2025/42720
FIN/JOR/PWR/002/2025/42724
FIN/KAM/PWR/010/2025/42735
FIN/KAM/PWR/010/2025/42736
FIN/NLB/PWB/001/2025/13079
FIN/NLB/PWR/001/2025/42710
FIN/SVS/PWB/001/2025/13082
FIN/UDG/PWR/001/2025/3755
FIN/BOK/PWR/002/2025/3004
FIN/DIS/PWB/007/2025/42731
FIN/DIS/PWB/007/2025/42732
FIN/DIS/PWB/007/2025/42734
FIN/DIS/PWB/007/2025/42733
FIN/DIS/PWB/007/2025/42730
